,x_Bi,x_In,x_Sn,Tm
454,0.3,0.65,0.05,77.5
455,0.29,0.66,0.05,77.0
456,0.28,0.67,0.05,76.5
457,0.27,0.68,0.05,76.0
458,0.26,0.69,0.05,75.0
459,0.25,0.7,0.05,74.0
460,0.24,0.71,0.05,72.5
461,0.23,0.72,0.05,70.5
462,0.22,0.73,0.05,68.5
463,0.21,0.74,0.05,66.5
464,0.2,0.75,0.05,68.0
465,0.19,0.76,0.05,73.0
466,0.18,0.77,0.05,78.0
467,0.17,0.78,0.05,82.5
468,0.16,0.79,0.05,87.5
469,0.15,0.8,0.05,92.0
470,0.14,0.81,0.05,96.5
471,0.13,0.82,0.05,101.0
472,0.12,0.83,0.05,105.5
473,0.11,0.84,0.05,110.0
474,0.1,0.85,0.05,114.0
475,0.09,0.86,0.05,118.0
476,0.08,0.87,0.05,122.0
477,0.07,0.88,0.05,126.0
478,0.06,0.89,0.05,130.0
479,0.05,0.9,0.05,133.5
480,0.04,0.91,0.05,137.0
481,0.03,0.92,0.05,141.0
482,0.02,0.93,0.05,144.5
483,0.01,0.94,0.05,147.5
192,0.0,0.9400000000000001,0.05999999999999994,150.0
485,0.93,0.01,0.06,257.0
486,0.92,0.02,0.06,254.5
487,0.91,0.03,0.06,251.5
488,0.9,0.04,0.06,249.0
489,0.89,0.05,0.06,246.5
490,0.88,0.06,0.06,244.0
491,0.87,0.07,0.06,241.0
492,0.86,0.08,0.06,238.5
493,0.85,0.09,0.06,235.5
494,0.84,0.1,0.06,232.5
495,0.83,0.11,0.06,230.0
496,0.82,0.12,0.06,227.0
497,0.81,0.13,0.06,224.0
498,0.8,0.14,0.06,221.0
499,0.79,0.15,0.06,218.0
500,0.78,0.16,0.06,215.0
501,0.77,0.17,0.06,212.0
502,0.76,0.18,0.06,208.5
503,0.75,0.19,0.06,205.5
504,0.74,0.2,0.06,202.0
505,0.73,0.21,0.06,199.0
506,0.72,0.22,0.06,195.5
507,0.71,0.23,0.06,192.0
508,0.7,0.24,0.06,188.5
509,0.69,0.25,0.06,185.0
510,0.68,0.26,0.06,181.5
511,0.67,0.27,0.06,178.0
512,0.66,0.28,0.06,174.0
513,0.65,0.29,0.06,170.5
514,0.64,0.3,0.06,166.5
515,0.63,0.31,0.06,162.5
516,0.62,0.32,0.06,158.5
517,0.61,0.33,0.06,154.5
518,0.6,0.34,0.06,150.5
519,0.59,0.35,0.06,146.5
520,0.58,0.36,0.06,142.5
521,0.57,0.37,0.06,138.0
522,0.56,0.38,0.06,133.5
523,0.55,0.39,0.06,129.0
524,0.54,0.4,0.06,124.5
525,0.53,0.41,0.06,120.0
526,0.52,0.42,0.06,115.5
527,0.51,0.43,0.06,111.0
528,0.5,0.44,0.06,106.0
529,0.49,0.45,0.06,101.0
530,0.48,0.46,0.06,99.0
531,0.47,0.47,0.06,99.0
532,0.46,0.48,0.06,99.0
533,0.45,0.49,0.06,99.0
534,0.44,0.5,0.06,98.5
535,0.43,0.51,0.06,98.0
536,0.42,0.52,0.06,97.0
537,0.41,0.53,0.06,96.0
538,0.4,0.54,0.06,95.0
539,0.39,0.55,0.06,94.0
540,0.38,0.56,0.06,92.5
541,0.37,0.57,0.06,91.0
542,0.36,0.58,0.06,89.0
543,0.35,0.59,0.06,87.0
544,0.34,0.6,0.06,85.0
545,0.33,0.61,0.06,82.5
546,0.32,0.62,0.06,80.0
547,0.31,0.63,0.06,77.0
548,0.3,0.64,0.06,76.0
549,0.29,0.65,0.06,75.5
550,0.28,0.66,0.06,75.0
551,0.27,0.67,0.06,74.5
552,0.26,0.68,0.06,73.5
553,0.25,0.69,0.06,72.5
554,0.24,0.7,0.06,71.5
555,0.23,0.71,0.06,70.0
556,0.22,0.72,0.06,68.0
557,0.21,0.73,0.06,66.0
558,0.2,0.74,0.06,66.5
559,0.19,0.75,0.06,71.5
560,0.18,0.76,0.06,76.5
561,0.17,0.77,0.06,81.0
562,0.16,0.78,0.06,86.0
563,0.15,0.79,0.06,90.5
564,0.14,0.8,0.06,95.0
565,0.13,0.81,0.06,99.5
566,0.12,0.82,0.06,104.0
567,0.11,0.83,0.06,108.5
568,0.1,0.84,0.06,112.5
569,0.09,0.85,0.06,116.5
570,0.08,0.86,0.06,120.5
571,0.07,0.87,0.06,124.5
572,0.06,0.88,0.06,128.5
573,0.05,0.89,0.06,132.5
574,0.04,0.9,0.06,136.0
575,0.03,0.91,0.06,139.5
576,0.02,0.92,0.06,143.0
577,0.01,0.93,0.06,146.5
203,0.94,0.0,0.060000000000000005,259.5
191,0.0,0.93,0.06999999999999995,149.0
204,0.93,0.0,0.06999999999999999,257.5
579,0.92,0.01,0.07,255.0
580,0.91,0.02,0.07,252.0
581,0.9,0.03,0.07,249.5
582,0.89,0.04,0.07,247.0
583,0.88,0.05,0.07,244.0
584,0.87,0.06,0.07,241.5
585,0.86,0.07,0.07,239.0
586,0.85,0.08,0.07,236.0
587,0.84,0.09,0.07,233.0
588,0.83,0.1,0.07,230.5
589,0.82,0.11,0.07,227.5
590,0.81,0.12,0.07,224.5
591,0.8,0.13,0.07,221.5
592,0.79,0.14,0.07,218.5
593,0.78,0.15,0.07,215.5
594,0.77,0.16,0.07,212.0
595,0.76,0.17,0.07,209.0
596,0.75,0.18,0.07,206.0
597,0.74,0.19,0.07,202.5
598,0.73,0.2,0.07,199.5
599,0.72,0.21,0.07,196.0
600,0.71,0.22,0.07,192.5
601,0.7,0.23,0.07,189.0
602,0.69,0.24,0.07,185.5
603,0.68,0.25,0.07,182.0
604,0.67,0.26,0.07,178.5
605,0.66,0.27,0.07,175.0
606,0.65,0.28,0.07,171.0
607,0.64,0.29,0.07,167.5
608,0.63,0.3,0.07,163.5
609,0.62,0.31,0.07,159.5
610,0.61,0.32,0.07,155.5
611,0.6,0.33,0.07,151.5
612,0.59,0.34,0.07,147.5
613,0.58,0.35,0.07,143.5
614,0.57,0.36,0.07,139.0
615,0.56,0.37,0.07,135.0
616,0.55,0.38,0.07,130.5
617,0.54,0.39,0.07,126.0
618,0.53,0.4,0.07,121.5
619,0.52,0.41,0.07,117.0
620,0.51,0.42,0.07,112.5
621,0.5,0.43,0.07,107.5
622,0.49,0.44,0.07,103.0
623,0.48,0.45,0.07,98.0
624,0.47,0.46,0.07,97.5
625,0.46,0.47,0.07,97.5
626,0.45,0.48,0.07,97.5
627,0.44,0.49,0.07,97.0
628,0.43,0.5,0.07,96.5
629,0.42,0.51,0.07,96.0
630,0.41,0.52,0.07,95.0
631,0.4,0.53,0.07,94.0
632,0.39,0.54,0.07,93.0
633,0.38,0.55,0.07,92.0
634,0.37,0.56,0.07,90.0
635,0.36,0.57,0.07,88.5
636,0.35,0.58,0.07,86.5
637,0.34,0.59,0.07,84.5
638,0.33,0.6,0.07,82.5
639,0.32,0.61,0.07,80.0
640,0.31,0.62,0.07,77.5
